PSTAR: Stopping Powers and Range Tables for Protons

AIR (dry, near sea level)

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
6.000E-01 3.121E+02 2.423E-01 3.123E+02 1.324E-03 1.297E-03 0.9793
6.500E-01 2.964E+02 2.261E-01 2.967E+02 1.489E-03 1.461E-03 0.9812
7.000E-01 2.824E+02 2.119E-01 2.826E+02 1.661E-03 1.633E-03 0.9827
7.500E-01 2.699E+02 1.995E-01 2.701E+02 1.842E-03 1.813E-03 0.9841
8.000E-01 2.587E+02 1.885E-01 2.589E+02 2.032E-03 2.002E-03 0.9852
8.500E-01 2.485E+02 1.787E-01 2.486E+02 2.229E-03 2.198E-03 0.9862
9.000E-01 2.391E+02 1.699E-01 2.393E+02 2.434E-03 2.402E-03 0.9871
9.500E-01 2.306E+02 1.620E-01 2.308E+02 2.646E-03 2.614E-03 0.9879
1.000E+00 2.227E+02 1.548E-01 2.229E+02 2.867E-03 2.834E-03 0.9886
1.250E+00 1.911E+02 1.270E-01 1.912E+02 4.082E-03 4.046E-03 0.9910
1.500E+00 1.682E+02 1.080E-01 1.683E+02 5.479E-03 5.438E-03 0.9926
1.750E+00 1.508E+02 9.404E-02 1.509E+02 7.051E-03 7.006E-03 0.9936
2.000E+00 1.370E+02 8.340E-02 1.371E+02 8.792E-03 8.742E-03 0.9943
2.250E+00 1.258E+02 7.500E-02 1.258E+02 1.070E-02 1.064E-02 0.9949
2.500E+00 1.164E+02 6.818E-02 1.165E+02 1.276E-02 1.270E-02 0.9953
2.750E+00 1.085E+02 6.254E-02 1.086E+02 1.499E-02 1.492E-02 0.9956
3.000E+00 1.017E+02 5.778E-02 1.018E+02 1.737E-02 1.730E-02 0.9959
3.500E+00 9.063E+01 5.021E-02 9.068E+01 2.258E-02 2.250E-02 0.9963
4.000E+00 8.192E+01 4.444E-02 8.197E+01 2.839E-02 2.829E-02 0.9966
4.500E+00 7.488E+01 3.989E-02 7.492E+01 3.478E-02 3.466E-02 0.9968
5.000E+00 6.905E+01 3.621E-02 6.909E+01 4.173E-02 4.161E-02 0.9969
5.500E+00 6.414E+01 3.317E-02 6.417E+01 4.925E-02 4.910E-02 0.9971
6.000E+00 5.994E+01 3.061E-02 5.997E+01 5.731E-02 5.715E-02 0.9972
6.500E+00 5.630E+01 2.843E-02 5.633E+01 6.592E-02 6.574E-02 0.9973
7.000E+00 5.312E+01 2.654E-02 5.315E+01 7.506E-02 7.486E-02 0.9973
7.500E+00 5.031E+01 2.490E-02 5.033E+01 8.474E-02 8.452E-02 0.9974
8.000E+00 4.781E+01 2.345E-02 4.783E+01 9.493E-02 9.469E-02 0.9975
8.500E+00 4.557E+01 2.217E-02 4.559E+01 1.056E-01 1.054E-01 0.9975
9.000E+00 4.355E+01 2.102E-02 4.357E+01 1.169E-01 1.166E-01 0.9976
9.500E+00 4.171E+01 1.999E-02 4.173E+01 1.286E-01 1.283E-01 0.9976
1.000E+01 4.004E+01 1.905E-02 4.006E+01 1.408E-01 1.405E-01 0.9976
1.250E+01 3.349E+01 1.547E-02 3.351E+01 2.094E-01 2.089E-01 0.9978
1.500E+01 2.892E+01 1.304E-02 2.894E+01 2.899E-01 2.893E-01 0.9979
1.750E+01 2.554E+01 1.128E-02 2.555E+01 3.820E-01 3.813E-01 0.9979
2.000E+01 2.293E+01 9.953E-03 2.294E+01 4.855E-01 4.845E-01 0.9980
2.500E+01 1.914E+01 8.066E-03 1.915E+01 7.252E-01 7.238E-01 0.9981
2.750E+01 1.773E+01 7.372E-03 1.773E+01 8.609E-01 8.593E-01 0.9981
3.000E+01 1.652E+01 6.790E-03 1.653E+01 1.007E+00 1.005E+00 0.9981
3.500E+01 1.460E+01 5.870E-03 1.460E+01 1.330E+00 1.327E+00 0.9982
4.000E+01 1.312E+01 5.173E-03 1.312E+01 1.691E+00 1.688E+00 0.9982
4.500E+01 1.194E+01 4.627E-03 1.194E+01 2.091E+00 2.088E+00 0.9983
5.000E+01 1.098E+01 4.187E-03 1.099E+01 2.528E+00 2.524E+00 0.9983
5.500E+01 1.019E+01 3.826E-03 1.019E+01 3.001E+00 2.996E+00 0.9983
6.000E+01 9.514E+00 3.523E-03 9.517E+00 3.509E+00 3.504E+00 0.9983
6.500E+01 8.938E+00 3.265E-03 8.942E+00 4.052E+00 4.045E+00 0.9984
7.000E+01 8.440E+00 3.043E-03 8.443E+00 4.628E+00 4.620E+00 0.9984
7.500E+01 8.003E+00 2.850E-03 8.006E+00 5.236E+00 5.228E+00 0.9984
8.000E+01 7.618E+00 2.681E-03 7.620E+00 5.876E+00 5.867E+00 0.9984
8.500E+01 7.275E+00 2.531E-03 7.277E+00 6.548E+00 6.538E+00 0.9984
9.000E+01 6.968E+00 2.397E-03 6.970E+00 7.250E+00 7.239E+00 0.9984
9.500E+01 6.691E+00 2.277E-03 6.693E+00 7.983E+00 7.970E+00 0.9985
1.000E+02 6.441E+00 2.169E-03 6.443E+00 8.744E+00 8.731E+00 0.9985
1.250E+02 5.474E+00 1.754E-03 5.475E+00 1.297E+01 1.295E+01 0.9985
1.500E+02 4.815E+00 1.475E-03 4.816E+00 1.786E+01 1.783E+01 0.9986
1.750E+02 4.337E+00 1.274E-03 4.338E+00 2.334E+01 2.330E+01 0.9986
2.000E+02 3.975E+00 1.122E-03 3.976E+00 2.937E+01 2.933E+01 0.9986
2.250E+02 3.690E+00 1.003E-03 3.691E+00 3.590E+01 3.585E+01 0.9987
2.500E+02 3.462E+00 9.075E-04 3.462E+00 4.290E+01 4.284E+01 0.9987
2.750E+02 3.274E+00 8.289E-04 3.275E+00 5.033E+01 5.026E+01 0.9987
3.000E+02 3.117E+00 7.631E-04 3.118E+00 5.816E+01 5.809E+01 0.9987
3.500E+02 2.870E+00 6.591E-04 2.871E+00 7.490E+01 7.481E+01 0.9988
4.000E+02 2.686E+00 5.806E-04 2.687E+00 9.293E+01 9.282E+01 0.9988
4.500E+02 2.544E+00 5.191E-04 2.544E+00 1.121E+02 1.119E+02 0.9989
5.000E+02 2.431E+00 4.697E-04 2.431E+00 1.322E+02 1.320E+02 0.9989
5.500E+02 2.340E+00 4.291E-04 2.340E+00 1.532E+02 1.530E+02 0.9989
6.000E+02 2.265E+00 3.951E-04 2.266E+00 1.749E+02 1.747E+02 0.9990
6.500E+02 2.203E+00 3.663E-04 2.203E+00 1.973E+02 1.971E+02 0.9990
7.000E+02 2.151E+00 3.414E-04 2.151E+00 2.203E+02 2.200E+02 0.9990
7.500E+02 2.107E+00 3.198E-04 2.107E+00 2.437E+02 2.435E+02 0.9990
8.000E+02 2.069E+00 3.009E-04 2.069E+00 2.677E+02 2.674E+02 0.9990
8.500E+02 2.036E+00 2.841E-04 2.037E+00 2.921E+02 2.918E+02 0.9991
9.000E+02 2.008E+00 2.691E-04 2.008E+00 3.168E+02 3.165E+02 0.9991
9.500E+02 1.984E+00 2.557E-04 1.984E+00 3.418E+02 3.415E+02 0.9991
1.000E+03 1.962E+00 2.436E-04 1.963E+00 3.672E+02 3.668E+02 0.9991
1.500E+03 1.850E+00 1.661E-04 1.850E+00 6.311E+02 6.306E+02 0.9992
2.000E+03 1.820E+00 1.267E-04 1.820E+00 9.041E+02 9.035E+02 0.9993
2.500E+03 1.818E+00 1.027E-04 1.818E+00 1.179E+03 1.178E+03 0.9994
3.000E+03 1.828E+00 8.655E-05 1.828E+00 1.454E+03 1.453E+03 0.9994
4.000E+03 1.861E+00 6.608E-05 1.861E+00 1.996E+03 1.995E+03 0.9995
5.000E+03 1.898E+00 5.362E-05 1.898E+00 2.528E+03 2.527E+03 0.9996
6.000E+03 1.933E+00 4.520E-05 1.934E+00 3.050E+03 3.049E+03 0.9996
7.000E+03 1.967E+00 3.913E-05 1.967E+00 3.563E+03 3.561E+03 0.9997
8.000E+03 1.998E+00 3.453E-05 1.998E+00 4.067E+03 4.066E+03 0.9997
9.000E+03 2.026E+00 3.093E-05 2.026E+00 4.564E+03 4.563E+03 0.9997
1.000E+04 2.052E+00 2.803E-05 2.052E+00 5.054E+03 5.053E+03 0.9997
