PSTAR: Stopping Powers and Range Tables for Protons

WATER, LIQUID

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
6.000E-01 3.676E+02 3.438E-01 3.680E+02 1.144E-03 1.124E-03 0.9829
6.500E-01 3.489E+02 3.201E-01 3.492E+02 1.283E-03 1.263E-03 0.9844
7.000E-01 3.322E+02 2.996E-01 3.325E+02 1.430E-03 1.410E-03 0.9857
7.500E-01 3.172E+02 2.817E-01 3.175E+02 1.584E-03 1.563E-03 0.9868
8.000E-01 3.037E+02 2.658E-01 3.039E+02 1.745E-03 1.724E-03 0.9877
8.500E-01 2.914E+02 2.516E-01 2.917E+02 1.913E-03 1.891E-03 0.9886
9.000E-01 2.803E+02 2.390E-01 2.805E+02 2.088E-03 2.066E-03 0.9893
9.500E-01 2.700E+02 2.276E-01 2.702E+02 2.270E-03 2.247E-03 0.9899
1.000E+00 2.606E+02 2.173E-01 2.608E+02 2.458E-03 2.435E-03 0.9905
1.250E+00 2.228E+02 1.775E-01 2.229E+02 3.499E-03 3.472E-03 0.9925
1.500E+00 1.955E+02 1.504E-01 1.957E+02 4.698E-03 4.669E-03 0.9938
1.750E+00 1.748E+02 1.307E-01 1.749E+02 6.052E-03 6.020E-03 0.9946
2.000E+00 1.585E+02 1.157E-01 1.586E+02 7.555E-03 7.519E-03 0.9952
2.250E+00 1.453E+02 1.038E-01 1.454E+02 9.203E-03 9.164E-03 0.9957
2.500E+00 1.343E+02 9.428E-02 1.344E+02 1.099E-02 1.095E-02 0.9960
2.750E+00 1.250E+02 8.637E-02 1.251E+02 1.292E-02 1.288E-02 0.9963
3.000E+00 1.171E+02 7.972E-02 1.172E+02 1.499E-02 1.494E-02 0.9965
3.500E+00 1.041E+02 6.916E-02 1.042E+02 1.952E-02 1.946E-02 0.9968
4.000E+00 9.398E+01 6.113E-02 9.404E+01 2.458E-02 2.451E-02 0.9971
4.500E+00 8.580E+01 5.481E-02 8.586E+01 3.015E-02 3.007E-02 0.9973
5.000E+00 7.906E+01 4.970E-02 7.911E+01 3.623E-02 3.613E-02 0.9974
5.500E+00 7.339E+01 4.549E-02 7.343E+01 4.279E-02 4.268E-02 0.9975
6.000E+00 6.854E+01 4.195E-02 6.858E+01 4.984E-02 4.972E-02 0.9976
6.500E+00 6.434E+01 3.894E-02 6.438E+01 5.737E-02 5.724E-02 0.9977
7.000E+00 6.068E+01 3.634E-02 6.071E+01 6.537E-02 6.522E-02 0.9977
7.500E+00 5.744E+01 3.407E-02 5.747E+01 7.384E-02 7.368E-02 0.9978
8.000E+00 5.456E+01 3.208E-02 5.460E+01 8.277E-02 8.259E-02 0.9978
8.500E+00 5.199E+01 3.031E-02 5.202E+01 9.215E-02 9.196E-02 0.9979
9.000E+00 4.966E+01 2.873E-02 4.969E+01 1.020E-01 1.018E-01 0.9979
9.500E+00 4.756E+01 2.731E-02 4.759E+01 1.123E-01 1.120E-01 0.9979
1.000E+01 4.564E+01 2.603E-02 4.567E+01 1.230E-01 1.228E-01 0.9980
1.250E+01 3.813E+01 2.111E-02 3.815E+01 1.832E-01 1.828E-01 0.9981
1.500E+01 3.290E+01 1.778E-02 3.292E+01 2.539E-01 2.535E-01 0.9982
1.750E+01 2.904E+01 1.538E-02 2.905E+01 3.350E-01 3.344E-01 0.9982
2.000E+01 2.605E+01 1.356E-02 2.607E+01 4.260E-01 4.252E-01 0.9983
2.500E+01 2.174E+01 1.098E-02 2.175E+01 6.370E-01 6.359E-01 0.9983
2.750E+01 2.012E+01 1.003E-02 2.013E+01 7.566E-01 7.553E-01 0.9984
3.000E+01 1.875E+01 9.239E-03 1.876E+01 8.853E-01 8.839E-01 0.9984
3.500E+01 1.656E+01 7.983E-03 1.656E+01 1.170E+00 1.168E+00 0.9984
4.000E+01 1.487E+01 7.034E-03 1.488E+01 1.489E+00 1.486E+00 0.9985
4.500E+01 1.353E+01 6.290E-03 1.354E+01 1.841E+00 1.839E+00 0.9985
5.000E+01 1.244E+01 5.691E-03 1.245E+01 2.227E+00 2.224E+00 0.9985
5.500E+01 1.154E+01 5.199E-03 1.154E+01 2.644E+00 2.641E+00 0.9985
6.000E+01 1.078E+01 4.786E-03 1.078E+01 3.093E+00 3.089E+00 0.9986
6.500E+01 1.012E+01 4.435E-03 1.013E+01 3.572E+00 3.567E+00 0.9986
7.000E+01 9.555E+00 4.134E-03 9.559E+00 4.080E+00 4.075E+00 0.9986
7.500E+01 9.059E+00 3.871E-03 9.063E+00 4.618E+00 4.611E+00 0.9986
8.000E+01 8.622E+00 3.641E-03 8.625E+00 5.184E+00 5.176E+00 0.9986
8.500E+01 8.233E+00 3.437E-03 8.236E+00 5.777E+00 5.769E+00 0.9986
9.000E+01 7.884E+00 3.255E-03 7.888E+00 6.398E+00 6.389E+00 0.9986
9.500E+01 7.570E+00 3.092E-03 7.573E+00 7.045E+00 7.035E+00 0.9986
1.000E+02 7.286E+00 2.944E-03 7.289E+00 7.718E+00 7.707E+00 0.9987
1.250E+02 6.190E+00 2.381E-03 6.192E+00 1.146E+01 1.144E+01 0.9987
1.500E+02 5.443E+00 2.001E-03 5.445E+00 1.577E+01 1.576E+01 0.9987
1.750E+02 4.901E+00 1.728E-03 4.903E+00 2.062E+01 2.060E+01 0.9988
2.000E+02 4.491E+00 1.522E-03 4.492E+00 2.596E+01 2.593E+01 0.9988
2.250E+02 4.169E+00 1.361E-03 4.170E+00 3.174E+01 3.171E+01 0.9988
2.500E+02 3.910E+00 1.231E-03 3.911E+00 3.794E+01 3.790E+01 0.9989
2.750E+02 3.697E+00 1.124E-03 3.698E+00 4.452E+01 4.447E+01 0.9989
3.000E+02 3.519E+00 1.035E-03 3.520E+00 5.145E+01 5.139E+01 0.9989
3.500E+02 3.240E+00 8.936E-04 3.241E+00 6.628E+01 6.621E+01 0.9989
4.000E+02 3.031E+00 7.870E-04 3.032E+00 8.225E+01 8.217E+01 0.9990
4.500E+02 2.870E+00 7.037E-04 2.871E+00 9.921E+01 9.912E+01 0.9990
5.000E+02 2.743E+00 6.367E-04 2.743E+00 1.170E+02 1.169E+02 0.9990
5.500E+02 2.640E+00 5.816E-04 2.640E+00 1.356E+02 1.355E+02 0.9991
6.000E+02 2.555E+00 5.355E-04 2.556E+00 1.549E+02 1.547E+02 0.9991
6.500E+02 2.485E+00 4.963E-04 2.485E+00 1.747E+02 1.746E+02 0.9991
7.000E+02 2.426E+00 4.626E-04 2.426E+00 1.951E+02 1.949E+02 0.9991
7.500E+02 2.375E+00 4.333E-04 2.376E+00 2.159E+02 2.158E+02 0.9991
8.000E+02 2.333E+00 4.076E-04 2.333E+00 2.372E+02 2.370E+02 0.9992
8.500E+02 2.296E+00 3.849E-04 2.296E+00 2.588E+02 2.586E+02 0.9992
9.000E+02 2.264E+00 3.646E-04 2.264E+00 2.807E+02 2.805E+02 0.9992
9.500E+02 2.236E+00 3.464E-04 2.236E+00 3.029E+02 3.027E+02 0.9992
1.000E+03 2.211E+00 3.300E-04 2.211E+00 3.254E+02 3.252E+02 0.9992
1.500E+03 2.070E+00 2.249E-04 2.070E+00 5.605E+02 5.601E+02 0.9993
2.000E+03 2.021E+00 1.715E-04 2.021E+00 8.054E+02 8.049E+02 0.9994
2.500E+03 2.004E+00 1.390E-04 2.004E+00 1.054E+03 1.053E+03 0.9995
3.000E+03 2.001E+00 1.171E-04 2.001E+00 1.304E+03 1.303E+03 0.9995
4.000E+03 2.012E+00 8.939E-05 2.012E+00 1.802E+03 1.802E+03 0.9996
5.000E+03 2.031E+00 7.251E-05 2.031E+00 2.297E+03 2.296E+03 0.9996
6.000E+03 2.052E+00 6.112E-05 2.052E+00 2.787E+03 2.786E+03 0.9997
7.000E+03 2.072E+00 5.291E-05 2.072E+00 3.272E+03 3.271E+03 0.9997
8.000E+03 2.091E+00 4.669E-05 2.091E+00 3.752E+03 3.751E+03 0.9997
9.000E+03 2.109E+00 4.181E-05 2.109E+00 4.228E+03 4.227E+03 0.9997
1.000E+04 2.126E+00 3.788E-05 2.126E+00 4.700E+03 4.699E+03 0.9998
